LIMIT_BAL,GENDER,AGE,DEFAULT,GRADUATE,UNIVERSITY,SCHOOL,EDU-OTHER,MARRIED,SINGLE,MARRIAGE-OTHER
20000,1,24,1,0,1,0,0,1,0,0
120000,1,26,1,0,1,0,0,0,1,0
90000,1,34,0,0,1,0,0,0,1,0
50000,1,37,0,0,1,0,0,1,0,0
50000,0,57,0,0,1,0,0,1,0,0
50000,0,37,0,1,0,0,0,0,1,0
500000,0,29,0,1,0,0,0,0,1,0
100000,1,23,0,0,1,0,0,0,1,0
140000,1,28,0,0,0,1,0,1,0,0
20000,0,35,0,0,0,1,0,0,1,0
200000,1,34,0,0,0,1,0,0,1,0
260000,1,51,0,1,0,0,0,0,1,0
630000,1,41,0,0,1,0,0,0,1,0
70000,0,30,1,0,1,0,0,0,1,0
250000,0,29,0,1,0,0,0,0,1,0
50000,1,23,0,0,0,1,0,0,0,1
20000,0,24,1,1,0,0,0,0,1,0
320000,0,49,0,1,0,0,0,1,0,0
360000,1,49,0,1,0,0,0,1,0,0
180000,1,29,0,1,0,0,0,0,1,0
130000,1,39,0,0,0,1,0,0,1,0
120000,1,39,1,0,1,0,0,1,0,0
70000,1,26,1,0,1,0,0,0,1,0
450000,1,40,1,1,0,0,0,1,0,0
90000,0,23,0,1,0,0,0,0,1,0
50000,0,23,0,0,0,1,0,0,1,0
60000,0,27,1,1,0,0,0,0,1,0
50000,1,30,0,0,0,1,0,0,1,0
50000,1,47,0,0,0,1,0,1,0,0
50000,0,26,0,1,0,0,0,0,1,0
230000,1,27,0,1,0,0,0,0,1,0
50000,0,33,1,0,1,0,0,0,1,0
100000,0,32,0,1,0,0,0,0,1,0
500000,1,54,0,0,1,0,0,1,0,0
500000,0,58,0,1,0,0,0,1,0,0
160000,0,30,0,1,0,0,0,0,1,0
280000,0,40,0,0,1,0,0,1,0,0
60000,1,22,0,0,1,0,0,0,1,0
50000,0,25,1,1,0,0,0,0,1,0
280000,0,31,0,1,0,0,0,0,1,0
360000,0,33,0,1,0,0,0,0,1,0
70000,1,25,0,1,0,0,0,0,1,0
10000,0,22,0,0,1,0,0,0,1,0
140000,1,37,0,0,1,0,0,1,0,0
40000,1,30,0,1,0,0,0,0,1,0
210000,0,29,1,1,0,0,0,0,1,0
20000,1,22,1,1,0,0,0,0,1,0
150000,1,46,1,0,0,0,0,0,1,0
380000,0,32,0,0,1,0,0,0,1,0
20000,0,24,0,1,0,0,0,0,1,0
70000,0,42,1,0,0,1,0,0,1,0
100000,1,43,0,0,0,1,0,0,0,1
310000,1,49,0,0,1,0,0,1,0,0
180000,1,25,0,1,0,0,0,0,1,0
150000,1,29,0,1,0,0,0,0,1,0
500000,1,45,0,1,0,0,0,1,0,0
180000,1,34,0,0,0,1,0,1,0,0
180000,1,34,0,0,1,0,0,1,0,0
200000,1,34,0,1,0,0,0,0,1,0
400000,1,29,0,0,1,0,0,1,0,0
500000,1,28,1,0,0,1,0,1,0,0
70000,0,39,0,0,1,0,0,1,0,0
50000,0,29,1,1,0,0,0,0,1,0
50000,1,46,1,0,1,0,0,1,0,0
130000,1,51,0,0,1,0,0,1,0,0
200000,0,57,1,1,0,0,0,1,0,0
10000,0,56,1,0,1,0,0,1,0,0
210000,1,30,0,1,0,0,0,0,1,0
130000,1,29,0,0,0,1,0,0,1,0
